Tiempo,Masa_Calido,Masa_Frio
0.00,90.000000,90.000000
2.00,93.303716,122.265979
4.00,96.728705,166.099662
6.00,100.279419,225.648198
8.00,103.960471,306.545532
10.00,107.776648,416.445440
12.00,111.732909,565.745660
14.00,115.834396,768.571633
16.00,120.086440,1044.112924
18.00,124.494568,1418.438765
20.00,129.064510,1926.964492
22.00,133.802205,2617.802224
24.00,138.713811,3556.312798
26.00,143.805711,4831.289621
28.00,149.084526,6563.359504
30.00,154.557114,8916.395282
32.00,160.230591,12113.019983
34.00,166.112329,16455.669411
36.00,172.209973,22355.205898
38.00,178.531450,30369.790390
40.00,185.084975,41257.690604
42.00,191.879067,56049.021484
44.00,198.922556,76143.205382
46.00,206.224597,103441.372790
48.00,213.794681,140526.230161
50.00,221.642647,190906.412306
52.00,229.778696,259348.437781
54.00,238.213403,352327.673894
56.00,246.957731,478640.977574
58.00,256.023045,650238.974648
60.00,265.421129,883356.720301
62.00,275.164197,1200049.713604
64.00,285.264913,1630280.589965
66.00,295.736406,2214753.915514
68.00,306.592285,3008767.286121
70.00,317.846663,4087443.087297
